student_id,gender,study_hours,attendance,math_score,reading_score,writing_score
S001,Female,2.5,78,62,68,70
S002,Male,4.0,92,81,76,79
S003,Female,5.5,96,91,88,94
S004,Male,1.5,65,48,55,51
S005,Female,3.5,84,74,80,77
S006,Male,2.0,72,58,61,56
S007,Female,6.0,98,95,93,96
S008,Male,4.5,89,83,79,81
S009,Female,1.0,60,43,49,46
S010,Male,3.0,81,69,65,68
S011,Female,4.0,87,78,84,82
S012,Male,5.0,94,88,82,85
S013,Female,2.0,74,56,63,60
S014,Male,1.5,68,51,57,54
S015,Female,5.0,91,86,90,88
S016,Male,3.5,85,73,70,75
S017,Female,2.5,79,64,67,66
S018,Male,6.5,99,97,91,94
S019,Female,3.0,83,71,76,73
S020,Male,2.5,76,61,59,63
